                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.52671,                0.45406,                0.99932,                0.84522,                0.80107,                0.84703,                0.68654,                0.72172,                0.75591,                 1.1047,             0.00042357,             0.00042357,             0.00042357
                    127,                0.52353,                0.45011,                0.99455,                0.82371,                0.78096,                0.82634,                0.68024,                0.72923,                0.81017,                 1.1082,             0.00041807,             0.00041807,             0.00041807
                    128,                0.53768,                0.45619,                0.99342,                0.88037,                0.75904,                0.83922,                0.68218,                0.72023,                0.77477,                 1.0974,             0.00041257,             0.00041257,             0.00041257
                    129,                0.51815,                 0.4425,                0.98594,                0.82799,                0.80663,                 0.8551,                0.70431,                 0.6966,                0.70538,                 1.0902,             0.00040707,             0.00040707,             0.00040707
                    130,                0.53182,                0.44843,                0.98971,                0.82596,                0.80083,                 0.8514,                0.69909,                0.72058,                0.74798,                 1.1023,             0.00040157,             0.00040157,             0.00040157
                    131,                0.51474,                0.43579,                0.98054,                0.85151,                0.79617,                0.84399,                0.67769,                 0.7495,                0.77079,                 1.1278,             0.00039607,             0.00039607,             0.00039607
                    132,                0.51279,                0.44687,                0.98673,                0.86594,                 0.7853,                0.85318,                 0.7013,                 0.7122,                0.72982,                 1.1018,             0.00039057,             0.00039057,             0.00039057
                    133,                0.53934,                0.46653,                0.99909,                0.82829,                0.79313,                0.83514,                0.68279,                0.71848,                0.75176,                  1.089,             0.00038507,             0.00038507,             0.00038507
                    134,                0.52864,                0.46588,                0.98444,                0.82929,                0.80317,                0.84603,                0.69345,                0.70414,                 0.7558,                  1.083,             0.00037957,             0.00037957,             0.00037957
                    135,                0.51923,                0.44257,                0.98327,                0.84092,                0.76873,                0.83507,                0.67992,                0.70871,                0.77583,                 1.0824,             0.00037407,             0.00037407,             0.00037407
                    136,                0.51175,                0.44569,                0.98315,                0.81023,                0.80143,                0.82835,                0.67507,                0.68913,                0.75185,                 1.0671,             0.00036857,             0.00036857,             0.00036857
                    137,                0.50989,                0.43317,                0.99071,                0.83835,                0.76341,                0.81616,                0.67424,                 0.7253,                0.81412,                 1.1162,             0.00036307,             0.00036307,             0.00036307
